res_id,rtr_pic_loc
"(1,)",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_78%2F1441105302239sXe8k_JPEG%2F166653513449371_0.jpeg
"(1,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191222_248%2F15769842127801uU7V_JPEG%2F9frPKwMTDVXeuDlqdthkxasS.jpeg.jpg
"(1,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191222_91%2F1576984401152kNNkz_JPEG%2F1LiqWlZsRm29yhCzKLdQFRK0.jpeg.jpg
"(1,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_256%2F1441105302440Alo35_JPEG%2F166653513449371_1.jpeg
"(1,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191222_38%2F1576984286843dxydP_JPEG%2F2gF70MBIDAx2XZcYBMEPkq3d.jpeg.jpg
"(2,)",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20201123_296%2F1606109221305B7kN0_JPEG%2F814a3365-2d4c-11eb-b523-505dac8c35ff_03.jpg
"(2,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201121_103%2F1605940484009AH7CL_JPEG%2FNBxNGWJWziDDB8mrG1VjOvd4.jpg
"(2,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201121_41%2F1605940484072zLiIY_JPEG%2FOIvB7CvoCP0BNONrhkDLwlFM.jpg
"(2,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201121_216%2F1605940484071XjzJ2_JPEG%2FYdPfEVgoKKSODSyxObp1e0TQ.jpg
"(2,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201121_138%2F1605940519684TWmOq_JPEG%2FDg6qI7aY_FR0iJRbvrENw00C.jpg
"(3,)",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180919_261%2F1537357221689vlj7e_PNG%2FxG1Z-k6TBfIYmO0tRvSCUeNo.PNG.png
