res_id,rtr_pic_loc
"(1,)",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200727_208%2F1595828935887KKV2S_JPEG%2FP5QpID5U_CbN2wMeuKwxBL2K.jpg
"(1,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200727_160%2F15958289510957X3tw_JPEG%2Fy-bzA5WAlJ_WTPX-hEct1bH8.jpg
"(1,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200727_97%2F15958290203387zorB_JPEG%2FoQse7Ta9KApL_nW4x2MtA9N4.jpg
"(1,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTAyMjJfMjUx%2FMDAxNjEzOTg5ODkyNjI4.TjZeurHunI8_UR54_OrXXwMLY7Zcv-I_Nzj07MQX51Yg.6mIvIfqB2bjTKVYTTQLIw91v4okIMFYvBk9UnzQq0Rog.JPEG.39rokaf%2Foutput_3510402159.jpg
"(1,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTAyMjJfMjMx%2FMDAxNjEzOTg5ODM1Njcw._f2Kxx0W56u3iyBHZKSZfXDgFbW8UXuZHsfoh3BmCfIg.5GycT40GGqrs7Fh3sCAnsVeZZTNXE-AnR9x_DRHEM9Ig.JPEG.39rokaf%2Foutput_2531080534.jpg
"(2,)",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210204_139%2F1612439270770uGe7B_JPEG%2FPPyc8oFaQQW88TBSW_ob4Nvg.jpeg.jpg
"(2,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210204_164%2F1612439426527G3qMS_JPEG%2FN_7nMTF8y-ueaSFyb39BXLe6.jpeg.jpg
"(2,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210204_277%2F1612439596645slhWU_JPEG%2FaaBcRpjRoTxiWUZXaPVjEN3W.jpeg.jpg
"(2,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210204_43%2F1612439557754j7VAO_JPEG%2FgNNwzR4hzLsMO8zHjVrKLzCd.jpeg.jpg
"(2,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210204_267%2F1612439416070N6cER_JPEG%2F3fZwXAjsDaWCOaGhASWOrRzX.jpeg.jpg
